Code Word,Size,Stranding,Ind. Diam - Al,Ind. Diam - St,Diam - Stl Core,Diam - Complete Cable,Weight per 1000 ft - Al,Weight per 1000 ft - Stl,Weight per 1000 ft - Total,% Al,% Stl,Rated Strength,Resistance DC @Low degc,Resistance AC @High degc,Low Temp,High Temp,Meters per Resistance Interval,Allowable Ampacity,Type
Pheasant/ACSS,1272,54/19,0.1535,0.0921,0.4604,1.381,1203.9,429.2,1633.1,34100,37300,43000,0.0131,0.0169,20,75,304.8,2200,ACSS
Dipper/ACSS,1351,45/7,0.1733,0.1155,0.3465,1.386,1272.5,248.3,1520.8,23700,25500,28800,0.0124,0.0158,20,75,304.8,2289,ACSS
Martin/ACSS,1351,54/19,0.1582,0.0949,0.4745,1.424,1278.7,455.8,1734.5,36200,39600,45600,0.0123,0.016,20,75,304.8,2288,ACSS
Bobolink/ACSS,1431,45/7,0.1783,0.1189,0.3566,1.427,1347.8,263,1610.8,25100,27000,30500,0.0117,0.015,20,75,304.8,2375,ACSS
Plover/ACSS,1431,54/19,0.1628,0.0977,0.4884,1.465,1354.4,482.8,1837.2,38400,41900,48300,0.0117,0.0151,20,75,304.8,2375,ACSS
Nuthatch/ACSS,1510,45/7,0.1832,0.1221,0.3664,1.465,1422.2,277.5,1699.7,26500,28100,31800,0.0111,0.0143,20,75,304.8,2459,ACSS
Parrot/ACSS,1510,54/19,0.1672,0.1003,0.5017,1.505,1429.2,509.5,1938.7,40400,44200,51000,0.011,0.0144,20,75,304.8,2460,ACSS
Ratite/ACSS,1590,42/7,0.1946,0.1081,0.3243,1.492,1497.6,217.4,1715,23400,25000,27900,0.0105,0.0136,20,75,304.8,2543,ACSS
Lapwing/ACSS,1590,45/7,0.188,0.1253,0.3759,1.504,1497.6,292.2,1789.8,27900,29600,33500,0.0105,0.0136,20,75,304.8,2543,ACSS
Falcon/ACSS,1590,54/19,0.1716,0.103,0.5148,1.544,1504.9,536.5,2041.4,42600,46600,53700,0.0105,0.0137,20,75,304.8,2545,ACSS
Chukar/ACSS,1780,84/19,0.1456,0.0873,0.4367,1.601,1684.7,386.1,2070.8,35400,38200,43900,0.0094,0.0122,20,75,304.8,2751,ACSS
Mockingbird/ACSS,2034.5,72/7,0.1681,0.1121,0.3362,1.681,1925.6,233.7,2159.3,27200,28900,32000,0.0083,0.011,20,75,304.8,2960,ACSS
Roadrunner/ACSS,2057,76/19,0.1645,0.0768,0.3839,1.7,1946.9,298.3,2245.2,31700,33900,38300,0.0082,0.0108,20,75,304.8,2992,ACSS
Bluebird/ACSS,2156,84/19,0.1602,0.0961,0.4806,1.762,2040.6,467.6,2508.2,42100,45500,51700,0.0078,0.0103,20,75,304.8,3106,ACSS
Kiwi/ACSS,2167,72/7,0.1735,0.1157,0.347,1.735,2051,248.9,2299.9,29000,30800,34100,0.0078,0.0104,20,75,304.8,3080,ACSS
Thrasher/ACSS,2312,76/19,0.1744,0.0814,0.407,1.802,2188.2,335.3,2523.5,35600,38100,43000,0.0073,0.0098,20,75,304.8,3218,ACSS
Joree/ACSS,2515,76/19,0.1819,0.0849,0.4245,1.88,2380.4,364.7,2745.1,38700,41400,46800,0.0067,0.0092,20,75,304.8,3390,ACSS
ACAR355,355,7-Dec,0.1367,0.1367,,0.683,,,332.1,,,8500,0.0514,0.0624,20,75,304.8,519,ACAR
ACAR465.9,465.9,7-Dec,0.1566,0.1566,,0.783,,,435.8,,,11000,0.0392,0.0477,20,75,304.8,616,ACAR
