CodeWord,Size,Stranding,IndDiamAl,IndDiamSt,DiamStlCore,DiamCompleteCable,Weightper1000ftAl,Weightper1000ftStl,Weightper1000ftTotal,Al,Stl,RatedStrength,ResistanceDCLowdegc,ResistanceACHighdegc,LowTemp,HighTemp,MetersperResistanceInterval,AllowableAmpacity,Type,Validated,minfirstderivative,ResistanceACLowdegc,ResistanceACLowdegcMeter,ResistanceACHighdegcMeter,deltas,delta1s,Cs
Eagle/ACSS,556.5,30/7,0.1362,0.1362,0.4086,0.953,525.4,345.2,870.6,24500,26500,31100,0.0295,0.0363,20,75,304.8,1331,ACSS,0,0,0.0295,9.67847769028871e-05,0.000119094488188976,1.74241064508156,2,0.519476653899268
Peacock/ACSS,605,24/7,0.1588,0.1058,0.3175,0.953,569.8,208.5,778.3,16500,18100,20800,0.0274,0.0339,20,75,304.8,1379,ACSS,0,0,0.0274,8.98950131233596e-05,0.000111220472440945,1.74241534941373,2,0.521890883679647
Squab/ACSS,605,26/7,0.1525,0.1186,0.3559,0.966,569.8,261.9,831.7,19700,21300,25200,0.0273,0.0337,20,75,304.8,1389,ACSS,0,0,0.0273,8.95669291338583e-05,0.000110564304461942,1.73318942836295,2,0.520030556930294
Wood Duck/ACSS,605,30/7,0.142,0.142,0.426,0.994,571.2,375.3,946.5,26000,28300,33300,0.0271,0.0334,20,75,304.8,1407,ACSS,0,0,0.0271,8.89107611548556e-05,0.000109580052493438,1.71358170113606,2,0.519226418909853
Teal/ACSS,605,30/19,0.142,0.0852,0.426,0.994,571.2,367.4,938.6,26600,29300,34800,0.0272,0.0335,20,75,304.8,1406,ACSS,0,0,0.0272,8.9238845144357e-05,0.00010990813648294,1.71358142194746,2,0.5190673022206
Rook/ACSS,636,24/7,0.1628,0.1085,0.3256,0.977,599,219.2,818.2,17300,19000,21900,0.0261,0.0322,20,75,304.8,1425,ACSS,0,0,0.0261,8.56299212598425e-05,0.000105643044619423,1.72544617375745,2,0.520334132991329
Grosbeak/ACSS,636,26/7,0.1564,0.1216,0.3649,0.991,599,275.4,874.4,20700,22400,26000,0.026,0.0321,20,75,304.8,1435,ACSS,0,0,0.026,8.53018372703412e-05,0.000105314960629921,1.71566795595411,2,0.519897131313351
Scoter/ACSS,636,30/7,0.1456,0.1456,0.4368,1.019,600.5,394.5,995,27400,29700,35000,0.0258,0.0318,20,75,304.8,1454,ACSS,0,0,0.0258,8.46456692913386e-05,0.000104330708661417,1.6963697355371,2,0.519022923689511
Egret/ACSS,636,30/19,0.1456,0.0874,0.4368,1.019,600.5,386.3,986.8,28000,30900,36600,0.0258,0.0319,20,75,304.8,1453,ACSS,0,0,0.0258,8.46456692913386e-05,0.000104658792650919,1.69637014710074,2,0.520495279160756
Flamingo/ACSS,666.6,24/7,0.1667,0.1111,0.3333,1,627.9,229.7,857.6,18200,19900,22900,0.0249,0.0308,20,75,304.8,1470,ACSS,0,0,0.0249,8.16929133858268e-05,0.000101049868766404,1.70943000008458,2,0.521267683915349
Gannet/ACSS,666.6,26/7,0.1601,0.1245,0.3736,1.014,627.8,288.6,916.4,21700,23400,27300,0.0248,0.0306,20,75,304.8,1480,ACSS,0,0,0.0248,8.13648293963255e-05,0.000100393700787402,1.6997930182047,2,0.519150615032087
Stilt/ACSS,715.5,24/7,0.1727,0.1151,0.3453,1.036,673.9,246.5,920.4,19500,21300,24600,0.0232,0.0287,20,75,304.8,1540,ACSS,0,0,0.0232,7.61154855643044e-05,9.41601049868766e-05,1.68482089964789,2,0.519869707962177
Starling/ACSS,715.5,26/7,0.1659,0.129,0.3871,1.051,673.9,309.8,983.7,23300,25200,29800,0.0231,0.0286,20,75,304.8,1550,ACSS,0,0,0.0231,7.57874015748031e-05,9.38320209973753e-05,1.67472556252935,2,0.519303545300116
Redwing/ACSS,715.5,30/19,0.1544,0.0927,0.4633,1.081,675.6,434.6,1110.2,30800,34000,39800,0.023,0.0284,20,75,304.8,1570,ACSS,0,0,0.023,7.54593175853018e-05,9.31758530183727e-05,1.654803952225,2,0.518236700446899
Cuckoo/ACSS,795,24/7,0.182,0.1213,0.364,1.092,748.8,274,1022.8,21700,23300,26900,0.0209,0.0259,20,75,304.8,1650,ACSS,0,0,0.0209,6.85695538057743e-05,8.49737532808399e-05,1.64759097845365,2,0.518541574196039
Drake/ACSS,795,26/7,0.1749,0.136,0.408,1.107,748.8,344.2,1093,25900,28000,32600,0.0209,0.0257,20,75,304.8,1662,ACSS,0,0,0.0209,6.85695538057743e-05,8.43175853018373e-05,1.63782247480182,2,0.516131493263395
Macaw/ACSS,795,42/7,0.1376,0.0764,0.2293,1.055,748.8,108.7,857.5,11800,12600,14300,0.0211,0.0262,20,75,304.8,1621,ACSS,0,0,0.0211,6.92257217847769e-05,8.59580052493438e-05,1.67205258461532,2,0.520677971134551
Tern/ACSS,795,45/7,0.1329,0.0886,0.2658,1.063,748.8,146.1,894.9,14200,15200,17400,0.021,0.0263,20,75,304.8,1618,ACSS,0,0,0.021,6.88976377952756e-05,8.62860892388451e-05,1.66671925661066,2,0.522148297528319
Condor/ACSS,795,54/7,0.1213,0.1213,0.364,1.092,748.8,274,1022.8,21700,23300,26900,0.0209,0.0266,20,75,304.8,1618,ACSS,0,0,0.0209,6.85695538057743e-05,8.72703412073491e-05,1.64759370803198,2,0.524018403953368
Mallard/ACSS,795,30/19,0.1628,0.0977,0.4884,1.139,750.6,482.8,1233.4,34300,37900,44300,0.0207,0.0255,20,75,304.8,1683,ACSS,0,0,0.0207,6.79133858267717e-05,8.36614173228346e-05,1.61726112049515,2,0.514884032123667
Ruddy/ACSS,900,45/7,0.1414,0.0943,0.2828,1.131,847.7,165.4,1012.1,15800,17000,19200,0.0186,0.0233,20,75,304.8,1755,ACSS,0,0,0.0186,6.10236220472441e-05,7.64435695538058e-05,1.62237209855553,2,0.520807271085738
