Name,Size,Metal OD,Low Temp ûC,Low Resistance ½/mile,Low Resistance ½/meter,Hi Temp ûC,Hi Resistance ½/mile,Hi Resistance ½/meter,alpha,beta,Type
Yukon,1233.6,1.245,25,0.07498,4.65905E-05,75,0.0887,5.51158E-05,4.23279E-05,1.70505E-07,ACSSTW
Nelson,1257.1,1.213,25,0.0745,4.62923E-05,75,0.0909,5.64828E-05,4.1197E-05,2.0381E-07,ACSSTW
Catawba,1272,1.203,25,0.0741,4.60437E-05,75,0.0902,5.60478E-05,4.10417E-05,2.00082E-07,ACSSTW
Scissortail,1272,1.203,25,0.0741,4.60437E-05,75,0.0902,5.60478E-05,4.10417E-05,2.00082E-07,ACSSTW
Bittern,1272,1.22,25,0.0737,4.57952E-05,75,0.0899,5.58614E-05,4.07621E-05,2.01325E-07,ACSSTW
Pheasant,1272,1.264,25,0.07286,4.52732E-05,75,0.08659,5.38047E-05,4.10075E-05,1.70629E-07,ACSSTW
Thames,1334.6,1.29,25,0.0696,4.32475E-05,75,0.0849,5.27545E-05,3.8494E-05,1.9014E-07,ACSSTW
Dipper,1351.5,1.256,25,0.0697,4.33097E-05,75,0.0849,5.27545E-05,3.85872E-05,1.88897E-07,ACSSTW
Martin,1351.5,1.300,25,0.0688,4.27504E-05,75,0.0839,5.21332E-05,3.80591E-05,1.87655E-07,ACSSTW
Mackenzie,1359.7,1.259,25,0.0694,4.31233E-05,75,0.0844,5.24439E-05,3.8463E-05,1.86412E-07,ACSSTW
Truckee,1372.5,1.248,25,0.0691,4.29369E-05,75,0.0840,5.21953E-05,3.83076E-05,1.85169E-07,ACSSTW
Bobolink,1431,1.291,25,0.0662,4.11349E-05,75,0.0804,4.99584E-05,3.67231E-05,1.7647E-07,ACSSTW
Plover,1431,1.337,25,0.0652,4.05135E-05,75,0.0795,4.93991E-05,3.60707E-05,1.77713E-07,ACSSTW
Merrimack,1433.6,1.340,25,0.0651,4.04514E-05,75,0.0793,4.92749E-05,3.60396E-05,1.7647E-07,ACSSTW
MiramichiACSS,1455.3,1.302,25,0.0652,4.05135E-05,75,0.0792,4.92127E-05,3.61639E-05,1.73984E-07,ACSSTW
St. Croix,1467.8,1.292,25,0.0650,4.03892E-05,75,0.0789,4.90263E-05,3.60707E-05,1.72742E-07,ACSSTW
Rio Grande,1533.3,1.382,25,0.0612,3.8028E-05,75,0.0744,4.62301E-05,3.3927E-05,1.64042E-07,ACSSTW
Potomac,1557.4,1.345,25,0.0613,3.80901E-05,75,0.0743,4.6168E-05,3.40512E-05,1.61557E-07,ACSSTW
Platte,1569,1.334,25,0.0613,3.80901E-05,75,0.0742,4.61059E-05,3.40823E-05,1.60314E-07,ACSSTW
Lapwing,1590,1.358,25,0.05966,3.70711E-05,75,0.07022,4.36328E-05,3.37902E-05,1.31234E-07,ACSSTW
Falcon,1590,1.408,25,0.05914,3.6748E-05,75,0.07022,4.36328E-05,3.33056E-05,1.37696E-07,ACSSTW
Pecos,1622,1.424,25,0.058,3.60396E-05,75,0.0688,4.27504E-05,3.26842E-05,1.34217E-07,ACSSTW
Schuylkill,1657.4,1.386,25,0.0581,3.61018E-05,75,0.0702,4.36204E-05,3.23425E-05,1.50372E-07,ACSSTW
James,1730.6,1.470,25,0.0549,3.41134E-05,75,0.0664,4.12591E-05,3.05405E-05,1.42916E-07,ACSSTW
Pee Dee,1758.6,1.427,25,0.0551,3.42376E-05,75,0.0665,4.13213E-05,3.06958E-05,1.41673E-07,ACSSTW
Chukar,1780,1.445,25,0.05438,3.37902E-05,75,0.05396,3.35293E-05,3.39207E-05,-5.21953E-09,ACSSTW
Cumberland,1926.9,1.545,25,0.05016,3.11681E-05,75,0.05861,3.64187E-05,2.85428E-05,1.05012E-07,ACSSTW
Athabaska,1949.6,1.504,25,0.05069,3.14974E-05,75,0.05914,3.6748E-05,2.88721E-05,1.05012E-07,ACSSTW
Powder,2153.8,1.602,25,0.0464,2.88317E-05,75,0.0543,3.37405E-05,2.63773E-05,9.81769E-08,ACSSTW
Bluebird,2156,1.608,25,0.0464,2.88317E-05,75,0.0543,3.37405E-05,2.63773E-05,9.81769E-08,ACSSTW
Santee,2627.3,1.762,25,0.0396,2.46064E-05,75,0.0459,2.8521E-05,2.2649E-05,7.8293E-08,ACSSTW
Turkey,6,0.198,25,3.454,0.002146221,75,4.320,0.00268433,0.001877167,1.07622E-05,ACSR
Swan,4,0.25,25,2.172,0.001349622,75,2.765,0.001718096,0.001165385,7.36948E-06,ACSR
Swanate,4,0.257,25,2.147,0.001334087,75,2.779,0.001726795,0.001137733,7.85415E-06,ACSR
Sparrow,2,0.316,25,1.366,0.000848795,75,1.778,0.001104801,0.000720792,5.12011E-06,ACSR
Sparate,2,0.325,25,1.351,0.000839475,75,1.787,0.001110393,0.000704015,5.41837E-06,ACSR
Robin,1,0.355,25,1.083,0.000672947,75,1.427,0.000886699,0.000566071,4.27504E-06,ACSR
Raven,1/0,0.398,25,0.859,0.000533759,75,1.145,0.000711472,0.000444903,3.55425E-06,ACSR
Quail,2/0,0.447,25,0.681,0.000423155,75,0.924,0.000574148,0.000347658,3.01987E-06,ACSR
Pigeon,3/0,0.502,25,0.541,0.000336163,75,0.746,0.000463544,0.000272472,2.54763E-06,ACSR
Penguin,4/0,0.563,25,0.434,0.000269676,75,0.611,0.000379659,0.000214684,2.19966E-06,ACSR
